title,price
Apartament de vanzare,596 785 leiPrețul e negociabil
Apartament 2 camere Razoare-Vivo,631 597 lei
"Apartament 2 camere de vanzare in Plopilor, Cluj Napoca",1 094 105 lei
Apartament cluj Napoca,1 989 lei
Apartament 2 camere Giurgiu zona Policlinica de închiriat,1 000 lei
"Inchiriez apartament 2 camere regim hotelier, cazare",150 lei
UltraCentral Regim Hotelier Apartament 2 Camere,200 lei
"Regim hotelier apartament 2 camere zona Coressi , Camere duble centru",130 lei
Apartament 2camere. Regim hotelier,200 lei
Apartament 2 camere | Campus Ovidius,437 642 lei
"Apartament 2 camere cu gradina, mobilat, zona Porii/Eroilor",392 883 lei
Închiriez Apartament 2 camere - Class Park,1 741 lei
Apartament  2 camere de inchiriat si loc de parcare,1 741 lei
"Apartament 2 camere de vanzare in Buna Ziua, Cluj Napoca",944 909 lei
"inchiriere apartament 3 camere - Cetate, deasupra Cinema Dacia",1 890 lei
Apartament Ultra Finisat cu 3 Camere în Baciu,671 383 lei
Inchiriez apartament,1 500 lei
Apartament 2 camere Tudor,2 000 lei
Închiriez apartament 2 camere Grozăvești,2 835 lei
Apartament cu 2 camere de vânzare în zona Ultracentral,335 691 lei
Tudor apartament 2 camere regim hotelier,150 lei
Închiriez apartament 2 camere,1 343 lei
Inchiriez apartament 2 camere micro 17 etaj 1,1 741 lei
Apartament 2 camere de închiriat,2 500 lei
Apartament 2 camere mobilat in Sibiu zona Ciresica,303 365 lei
Inchiriez apartament 2 camere Calea Romanilor Arad,1 144 lei
Apartament nou cu 2 camere CF1 în Unirii Residence///direct proprietar,472 405 lei
"Apartament 2 camere, zona Doamna Stanca",547 052 lei
Apartament de LUX  de vanzare Negrești-Oaș,330 718 lei
"Apartament 2 camere, decomandat, mobilat complet, Aeroport",160 000 leiPrețul e negociabil
Apartament cu 2 camere in Doja,322 761 lei
Apartament cu 2 camere in Micro 19,1 300 lei
Apartament 2 camere,333 205 leiPrețul e negociabil
Vanzare apartament 2 camere,174 062 lei
Apartament 2 camere / Carpati 1 / Etaj 1,995 lei
Vand apartament 2 camere,223 794 leiPrețul e negociabil
Chirie Apartament 2 camere Dobroesti,1 741 lei
"Apartament 2 camere, mobilat, utilat, zona Florilor",308 339 lei
Inchiriez apartament 2 camere,1 200 lei
Apartament 2 camere Medias,198 928 lei
"Apartament 2 camere de vanzare in Intre Lacuri, Cluj Napoca",845 445 lei
